CRM,219.9
CRS,42.05
CRT,8.83
CRU,10.45
CRU.U,11.03
CRU.W,2.52
CRY,25.67
CS,14.6
CSL,147.53
CSLT,1.69
CSPR,8.75
CSR,69.6
CSR-C,26.28
CST.U,10.5
CSTM,13.69
CSU,32.15
CSV,33.55
CTA-A,85.77
CTA-B,104.61
CTA.U,11.07
CTA.W,1.85
CTAC,10.76
CTB,58.16
CTBB,25.3
CTDD,26.05
CTK,4.19
CTLT,114.78
CTO,53.16
CTR,18.58
CTS,32.76
CTT,10.34
CTVA,45.82
CUB,69.59
CUB-C,25.1
CUB-D,24.785
CUB-E,24.69
CUB-F,24.6
CUBB,25.8
CUBE,37.19
CUBI,27.4
CUK,23.6
CULP,17.68
CURO,14.95
CUZ,34.29
CVA,14.3
CVE,7.57
CVE.W,3.95
CVEO,18.34
CVI,22.9
CVI.U,10.58
CVNA,289.12
CVS,68.42
CVX,102.46
CW,112.92
CWE.A,26.5
CWEN,28.15
CWH,32.43
CWK,15.87
CWT,55.48
CX,6.76
CXE,5.07
CXH,9.72
CXP,14.5
CXW,7.29
CYD,15.31
CYH,8.75
CZZ,18.8
D,69.41
DAC,42.36
DAL,49.47
DAN,24.46
DAO,32
DAR,64.46
DASH,171.44
DAVA,88.95
DB,12.58
DBD,14.6
DBI,12.94
DBL,19.7
DCF,9.03
DCI,59.57
DCO,56.77
DCP,22.2
DCP-B,22.53
DCP-C,22.99
DCUE,93.5
DD,71.32
DDD,38.7
DDF,9.73
DDS,80.8
DDT,25.64
DE,355.06
DEA,22.12
DECK,330.99
DEH,10.33
DEH.W,1.33
DEI,33.23
DELL,81.08
DEN,43.19
DEO,159.08
DESP,12.14
DEX,9.6
DFIN,26.25
DFN.U,11.25
DFN.W,2
DFNS,10.42
DFP,28.72
DFS,96.44
DG,189.26
DGN.U,10.96
DGN.W,2.51
DGNR,10.75
DGX,116.63
DHF,3.06
DHI,78.41
DHR,220.92
DHR-A,1537.7
DHR-B,1318.42
DHT,5.73
DHX,3.12
DIAX,15.37
DIN,80.42
DIS,193.24
DK,25.27
DKL,36.51
DKS,72.31
DL,9.65
DLB,98.83
DLN-A,24.5
DLN-B,20.79
DLNG,2.86
DLR,135.59
DLR-C,25.51
DLR-J,25.86
DLR-K,27.18
DLR-L,26.27
DLX,40.44
DLY,19.2
DM,20.46
DM.W,9.35
DMB,13.97
DMO,14.82
DMS,11.2
DMS.W,2.2
DMY.D,15.84
DMY.S,20.16
DMY.T,5.96
DMY.V,4.6
DMYD,19.84
DMYI,14.61
DNB,22.08
DNK,2.58
DNM.W,25.5
DNMR,40.49
DNOW,11.16
DNP,10.45
DNZ.U,10.24
DOC,17.23
DOOR,112.66
DOV,124.41
DOW,61.15
DPG,13.15
DPZ,349.56
DQ,109.17
DRD,9.15
DRE,39.63
DRH,10.5
DRH-A,26.67
DRI,139.12
DRQ,34.34
DRUA,25.45
DS,2.7
DS-B,20.04
DS-C,20.35
DS-D,20.14
DSE,6.91
DSL,17.6
DSM,7.85
DSSI,8.23
DSU,10.75
DSX,3.08
DSX-B,25.65
DT,50.71
DTB,24.75
DTE,118.43
DTF,14.16
DTJ,25.41
DTL.P,12.94
DTP,46.5
DTW,25.94
DTY,25.67
DUC,10.46
DUK,86
DUK-A,26.78
DUKB,26.73
DUKH,25.45
DVA,103.22
DVD,2.21
DVN,22.05
DWI.U,10.55
DWI.W,0.98
DWIN,10.08
DX,19.13
DX-C,25.24
DXC,25.77
DY,78.86
DYFN,18.65
E,23.02
EAF,12.3
EAI,25.4
EARN,12.38
EAT,70.21
EB,20.48
EBF,20.21
EBR,5.75
EBR.B,5.76
EBS,98.78
EC,12.5
ECC,11.13
ECCB,25.58
ECCX,25.35
ECCY,25.44
ECL,210.8
ECOM,23.14
ED,66.13
EDD,6
EDF,8.69
EDI,8.86
EDN,3.95
EDU,180.94
EEA,10.64
EEX,5.62
EFC,16
EFC-A,22.99
EFF,15.78
EFL,9.22
EFR,13.45
EFT,13.98
EFX,163.25
EGF,12.9
EGHT,34.68
EGO,10.74
EGP,138.43
EGY,3.36
EHC,81.36
EHI,10.1
EHT,9.85
EIC,15.33
EIG,33.8
EIX,54.6
EL,290.78
ELAN,33.2
ELAT,50.86
ELC,25.59
ELF,26.32
ELP,10.57
ELS,62.47
ELVT,4.18
ELY,28.65
EMD,13.1
EME,99.77
EMF,19.91
EMN,111.09
EMO,17.22
EMP,25.55
EMP.U,10.49
EMP.W,1.2
EMPW,10.2
EMR,87.07
ENB,34.41
ENBA,26.93
ENBL,6.78
ENIA,7.66
ENIC,3.89
ENJ,25.49
ENLC,4.02
ENO,25.48
ENP.U,26
ENP.W,3.16
ENPC,25.58
ENR,42.78
ENR-A,90.2
ENS,92.51
ENV,64.89
ENVA,31.77
ENZ,2.94
EOD,5.29
EOG,65.46
EOI,16.61
EOS,22.21
EOT,21.78
EP-C,49.99
EPAC,25.12
EPAM,378
EPC,31.03
EPD,21.75
EPR,46.28
EPR-C,24.58
EPR-E,33.49
EPR-G,23.6
EPRT,23.35
EPW.U,10.42
EQC,28.44
EQC-D,30.07
EQD,10.57
EQD.U,11
EQD.W,1.79
EQH,30.05
EQH-A,25.68
EQH-C,24.82
EQH.U,10.19
EQNR,19.16
EQR,66.58
EQS,1.8
EQT,18.09
ERF,4.96
ERJ,8.86
ES,80.04
ESE,107.51
ESGC,1.9
ESI,18.34
ESNT,42.13
ESRT,11.32
ESS,258.45
ESTC,136.4
ESTE,7.34
ET,7.95
ETB,14.89
ETG,18.3
ETH,25.97
ETI.P,26.62
ETJ,10.63
ETM,4.58
ETN,132.01
ETO,25.23
ETP-C,21.81
ETP-D,22.75
ETP-E,22.69
ETR,87.93
ETRN,7.35
ETV,15.09
ETW,9.73
ETW.W,1.77
ETWO,9.42
ETX,21.98
ETY,12.42
EURN,8.9
EVA,52.59
EVC,3.15
EVF,6.64
EVG,13.15
EVH,20.84
EVN,13.23
EVR,122.47
EVRG,54.17
EVRI,15.39
EVT,24.45
EVTC,39.05
EW,83.99
EXD,10.25
EXG,8.91
EXK,6.14
EXP,127.65
EXPR,2.82
EXR,126.82
EXTN,5.54
F,11.87
F-B,26.31
F-C,26.1
FAF,53.18
FAI.U,10.55
FAI.W,1.54
FAII,10.3
FAM,10.05
FBC,44.15
FBHS,83.99
FBK,43.14
FBP,10.77
FC,26.25
FCA.U,10.37
FCF,13.7
FCN,116.05
FCPT,27.62
FCRW,25.85
FCRZ,25.48
FCT,12.14
FCX,35.05
FDEU,12.25
FDP,25.81
FDS,305.9
FDX,258.71
FE,33.64
FEDU,1.49
FEI,6.47
FENG,1.81
FEO,14.91
FET,21.93
FF,14.96
FFA,17.87
FFC,22.15
FFG,57.75
FGB,3.73
FGN.U,10.85
FGN.W,1.3501
FGNA,10.2
FHI,27.51
FHN,16.58
FHN-A,25.5
FHN-B,27.02
FHN-C,26.56
FHN-D,26.28
FHN-E,26.91
FI,4.62
FICO,469.38
FIF,11.26
FINS,17.36
FINV,5.8
FIS,139.88
FIV,9.3
FIX,63.49
FL,49.21
FLC,22.98
FLNG,8.84
FLO,21.78
FLOW,62.72
FLR,17.71
FLS,37.94
FLT,281.7
FLY,12.35
FMA.U,12.12
FMA.W,2.6
FMAC,11.06
FMC,102.91
FMN,14.22
FMO,8.71
FMS,35.13
FMX,68.91
FMY,13.66
FN,90.1
FNB,12.15
FNB-E,27.61
FND,95.93
FNF,38.85
FNV,107.7
FOE,16.03
FOF,13.2
FOR,21.36
FOUR,78.66
FPA.U,10.85
FPA.W,1.97
FPAC,10.24
FPF,23.02
FPH,6.57
FPI,12.1
FPI-B,25.93
